ROW_ID,ORDER_ID,ORDER_DATE,PRIORITY,QUANTITY,SALES,DISCOUNT,MODE,PROFIT,UNIT_PRICE,SHIPPING_COSTS,CUSTOMER_ID,PROVINCE,REGION,SEGMENT,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,SHIP_DATE
55,323,3/25/2009,Critical,2,55.34,0.06,Regular Air,-31.24,22.84,11.54,698,Yukon,Yukon,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,3/27/2009
54,323,3/25/2009,Critical,20,108.09,0.07,Regular Air,25.76,5.68,1.39,698,Yukon,Yukon,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,3/27/2009
56,324,3/19/2012,Critical,25,3872.634,0.02,Regular Air,667.33,179.99,13.99,655,Saskachewan,Prarie,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,3/21/2012
57,325,10/16/2010,Low,9,884.1275,0.06,Regular Air,-178.71,115.99,4.23,341,Nova Scotia,Atlantic,Corporate,Technology,Telephones and Communication,282,Small Box,10/20/2010
59,326,6/3/2011,High,17,100.95,0.05,Regular Air,-21.30,5.81,3.37,429,Quebec,Quebec,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,6/4/2011
58,326,6/3/2011,High,34,218.27,0.03,Regular Air,-44.14,5.99,4.92,429,Quebec,Quebec,Consumer,Office Supplies,Binders and Binder Accessories,"DXL� Angle-View Binders with Locking Rings, Black",Small Box,6/4/2011
60,353,12/30/2010,Low,21,46.94,0.02,Regular Air,3.88,2.21,1,364,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha� White Chalk, 12/Pack",Wrap Bag,4/1/2011
61,355,6/13/2009,Low,16,1239.6315,0,Regular Air,-172.55,85.99,0.99,241,Ontario,Ontario,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,6/18/2009
63,358,9/19/2010,High,33,1235.87,0.07,Regular Air,269.27,39.48,1.99,705,Alberta,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,9/19/2010
62,358,9/19/2010,High,33,1640.9,0.02,Delivery Truck,-1348.06,48.58,54.11,705,Alberta,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,9/21/2010
64,359,12/18/2009,Medium,30,3659.66,0.08,Delivery Truck,-500.38,124.49,51.94,220,Alberta,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,12/19/2009
65,384,3/2/2012,Low,50,7666.04,0.02,Delivery Truck,-1820.84,146.05,80.2,760,Alberta,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,3/9/2012
67,386,1/24/2011,High,4,15.69,0.09,Regular Air,-1.59,3.85,0.7,366,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,1/26/2011
66,386,1/24/2011,High,4,14.96,0.02,Regular Air,-0.03,3.69,0.5,366,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery 501,Small Box,1/26/2011
68,388,12/15/2012,Not Specified,46,517.93,0.06,Regular Air,-94.73,11.7,6.96,226,Ontario,Ontario,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,12/18/2012
69,416,9/26/2010,Low,20,1156.6715,0.01,Express Air,88.52,65.99,7.69,494,Ontario,Ontario,Consumer,Technology,Telephones and Communication,5190,Small Box,10/1/2010
71,417,2/5/2009,Medium,3,540.41,0.1,Regular Air,-170.98,178.47,19.99,406,Yukon,Yukon,Small Business,Office Supplies,Storage & Organization,"Hot File� 7-Pocket, Floor Stand",Small Box,2/7/2009
70,417,2/5/2009,Medium,39,15260.78,0.07,Delivery Truck,8734.88,500.98,28.14,406,Yukon,Yukon,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,2/6/2009
73,420,10/30/2011,Not Specified,6,41.7,0.03,Regular Air,-14.56,5.78,5.37,485,Alberta,West,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,11/1/2011
72,420,10/30/2011,Not Specified,8,43.29,0.09,Regular Air,-20.69,4.98,4.86,485,Alberta,West,Small Business,Office Supplies,Paper,Xerox 190,Small Box,10/30/2011
74,448,8/20/2011,Medium,22,1162.4005,0.09,Regular Air,-284.63,65.99,19.99,362,Yukon,Yukon,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,8/22/2011
75,449,7/19/2011,High,45,356.7,0.02,Regular Air,-48.97,7.38,5.21,242,Ontario,Ontario,Corporate,Furniture,Office Furnishings,"Eldon� Expressions� Wood Desk Accessories, Oak",Small Box,7/21/2011
77,450,3/4/2011,Not Specified,35,543.72,0.05,Regular Air,-211.13,15.7,11.25,90,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,3/6/2011
76,450,3/4/2011,Not Specified,29,1000.78,0.05,Express Air,109.33,34.58,8.99,90,British Columbia,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,3/5/2011
78,454,12/26/2011,Low,42,234.2,0.09,Regular Air,56.22,6.08,1.82,527,Ontario,Ontario,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,12/28/2011
79,481,10/7/2012,High,44,4509.3775,0.01,Regular Air,1426.26,115.99,5.26,532,British Columbia,West,Home Office,Technology,Telephones and Communication,636,Small Box,10/9/2012
80,483,7/10/2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,3,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,7/12/2011
81,487,8/17/2012,Critical,19,210.4,0.07,Regular Air,-18.96,10.89,4.5,574,Manitoba,Prarie,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,8/18/2012
83,512,5/19/2011,Low,48,806.37,0.01,Express Air,-166.40,15.42,10.68,617,Saskachewan,Prarie,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,5/21/2011
82,512,5/19/2011,Low,6,1309.53,0.06,Regular Air,19.18,218.08,18.06,617,Saskachewan,Prarie,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage� Folding Chairs, 4/Carton",Large Box,5/19/2011
84,513,4/30/2011,High,33,5437.92,0,Delivery Truck,-684.57,150.89,60.2,495,Ontario,Ontario,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,4/30/2011
86,515,8/28/2010,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,4,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,8/30/2010
85,515,8/28/2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,4,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,8/30/2010
89,548,9/20/2009,Critical,26,2753.1925,0.04,Regular Air,510.49,125.99,4.2,631,Saskachewan,Prarie,Home Office,Technology,Telephones and Communication,V3682,Small Box,9/22/2009
88,548,9/20/2009,Critical,29,202.95,0.02,Regular Air,-50.64,6.48,5.9,631,Saskachewan,Prarie,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,9/21/2009
87,548,9/20/2009,Critical,41,129.49,0.04,Regular Air,36.02,3.08,0.99,631,Saskachewan,Prarie,Home Office,Office Supplies,Labels,Avery 481,Small Box,9/21/2009
92,549,7/12/2012,Critical,30,1150.88,0.05,Express Air,-911.56,38.94,35,528,Ontario,Ontario,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,7/12/2012
91,549,7/12/2012,Critical,5,40.75,0.05,Regular Air,-27.57,6.48,8.74,528,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,7/13/2012
90,549,7/12/2012,Critical,13,70.24,0.03,Regular Air,-59.75,4.98,7.44,528,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,7/13/2012
93,610,8/1/2011,Critical,38,283.65,0.02,Express Air,-29.21,6.68,5.41,562,Manitoba,Prarie,Home Office,Office Supplies,Paper,Xerox 195,Small Box,8/3/2011
94,611,1/26/2010,Critical,47,840.04,0.04,Regular Air,-131.27,17.7,9.47,495,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Portfile� Personal File Boxes,Small Box,1/28/2010
96,612,10/20/2012,Medium,43,2531.0875,0.01,Regular Air,881.68,65.99,2.5,465,Manitoba,Prarie,Corporate,Technology,Telephones and Communication,6190,Small Box,10/22/2012
95,612,10/20/2012,Medium,50,262.87,0.1,Regular Air,-166.29,5.28,6.26,465,Manitoba,Prarie,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,10/22/2012
98,613,6/17/2011,High High,22,905.08,0.09,Regular Air,127.70,42.76,6.22,5,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,6/18/2011
97,613,6/17/2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,5,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,6/17/2011
100,614,11/30/2012,High,24,3366.1,0.07,Delivery Truck,-335.32,138.75,52.42,275,Quebec,Quebec,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,12/1/2012
99,614,11/30/2012,High,41,628.22,0,Regular Air,163.81,14.34,5,275,Quebec,Quebec,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,12/2/2012
102,640,1/22/2010,High,24,464.77,0.01,Regular Air,29.42,18.97,9.54,243,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,1/23/2010
101,640,1/22/2010,High,39,4913.69,0.02,Delivery Truck,-1153.90,120.98,58.64,243,Ontario,Ontario,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,1/23/2010
103,643,3/24/2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,6,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,3/25/2011
104,644,4/30/2012,Critical,5,1679.58,0.01,Delivery Truck,-171.92,320.98,58.95,150,Quebec,Quebec,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda� Round Back Stacking Chairs,Jumbo Drum,5/1/2012
105,645,12/2/2009,High,42,557.85,0.05,Regular Air,89.45,12.95,4.98,65,Prince Edward Island,Atlantic,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,12/4/2009
106,646,11/21/2009,High,18,173.2,0.01,Regular Air,-10.90,9.31,3.98,244,Ontario,Ontario,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme� Forged Steel Scissors with Black Enamel Handles,Small Pack,11/22/2009
107,678,2/26/2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,7,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,2/26/2010
108,706,9/8/2011,Critical,42,75.14,0.05,Regular Air,0.82,1.76,0.7,155,Nova Scotia,Atlantic,Consumer,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,9/10/2011
111,710,1/1/2010,Low,29,4192.88,0.02,Delivery Truck,731.32,145.45,17.85,575,Manitoba,Prarie,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,1/5/2010
110,710,1/1/2010,Low,11,447.09,0.09,Regular Air,89.03,41.32,8.66,575,Manitoba,Prarie,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,1/3/2010
109,710,1/1/2010,Low,42,161.77,0.01,Regular Air,-150.37,3.58,5.47,575,Manitoba,Prarie,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,1/5/2010
113,738,3/1/2010,Not Specified,31,189.95,0.08,Regular Air,-56.68,6.48,5.14,459,Quebec,Quebec,Corporate,Office Supplies,Paper,Xerox 23,Small Box,3/2/2010
112,738,3/1/2010,Not Specified,7,560.51,0.04,Regular Air,32.60,80.98,4.5,459,Quebec,Quebec,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,3/3/2010
114,740,7/15/2011,Medium,6,28.01,0.09,Regular Air,3.46,4.98,0.49,313,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,7/15/2011
115,769,6/1/2010,Medium,37,4261.94,0.02,Delivery Truck,4.15,115.99,56.14,66,Prince Edward Island,Atlantic,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,6/2/2010
116,771,6/16/2011,Critical,18,88.84,0.08,Regular Air,-38.35,4.98,4.72,632,Saskachewan,Prarie,Home Office,Office Supplies,Paper,Xerox 1949,Small Box,6/17/2011
118,772,4/16/2010,High,25,233.05,0.1,Regular Air,86.93,9.9,1.39,460,Quebec,Quebec,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,4/18/2010
117,772,4/16/2010,High,35,589.24,0.08,Regular Air,-38.35,17.52,8.17,460,Quebec,Quebec,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,Medium Box,4/18/2010
119,773,9/25/2010,Medium,38,2071.3395,0.06,Regular Air,324.93,65.99,8.99,67,Prince Edward Island,Atlantic,Home Office,Technology,Telephones and Communication,Talkabout T8367,Small Box,9/26/2010
120,774,12/3/2011,Critical,17,126.57,0.03,Regular Air,-752.13,4.48,49,761,Alberta,West,Small Business,Office Supplies,Appliances,Hoover Portapower� Portable Vacuum,Large Box,12/5/2011
122,775,3/17/2011,Critical,8,31.87,0.1,Regular Air,-1.25,4.26,1.2,380,Nova Scotia,Atlantic,Small Business,Office Supplies,Pens & Art Supplies,"Dixon Prang� Watercolor Pencils, 10-Color Set with Brush",Wrap Bag,3/19/2011
121,775,3/17/2011,Critical,35,43.57,0.1,Regular Air,-19.17,1.26,0.7,380,Nova Scotia,Atlantic,Small Business,Office Supplies,Rubber Bands,Bagged Rubber Bands,Wrap Bag,3/18/2011
123,801,2/17/2012,Critical,20,59.85,0.03,Regular Air,-47.41,2.74,3.5,576,Manitoba,Prarie,Corporate,Office Supplies,Pens & Art Supplies,Rogers Handheld Barrel Pencil Sharpener,Small Pack,2/20/2012
125,802,1/4/2011,Critical,2,38.5,0.09,Regular Air,-52.14,15.99,9.4,496,Ontario,Ontario,Corporate,Technology,Office Machines,"AT&T Black Trimline Phone, Model 210",Small Box,1/4/2011
124,802,1/4/2011,Critical,33,378.6,0.08,Regular Air,12.72,11.7,5.63,496,Ontario,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases,Small Box,1/6/2011
126,805,7/4/2011,Not Specified,39,197.56,0.02,Regular Air,-119.86,4.97,5.71,677,Saskachewan,Prarie,Small Business,Furniture,Office Furnishings,"DAX Value U-Channel Document Frames, Easel Back",Medium Box,7/6/2011
128,807,11/23/2010,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,2,8,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,11/24/2010
127,807,11/23/2010,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,8,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,11/24/2010
129,832,4/18/2012,Low,7,53.46,0.02,Regular Air,-17.58,6.48,5.9,774,Alberta,West,Corporate,Office Supplies,Paper,Xerox 1976,Small Box,4/22/2012
